profile,N,eps,arm,pair_seed,t_step,fperi_005,fperi_01,fperi_02,M05,M10,M20,C8,beta,sigr,L_inner,L_mid,L_outer,L_global
hernquist3d,4096,0.05,orig,2000,0,0.20093,0.34448,0.50806,0.03125,0.09692,0.24438,527.7465,-0.0042,0.7211,0.1309,0.4910,3.1340,1.2518
hernquist3d,4096,0.05,orig,2000,5,0.20093,0.34448,0.50806,0.02612,0.09863,0.24097,526.2803,0.0171,0.7254,0.1309,0.4910,3.1340,1.2518
hernquist3d,4096,0.05,orig,2000,10,0.20093,0.34448,0.50806,0.02295,0.09619,0.23682,527.1861,0.0405,0.7280,0.1309,0.4910,3.1340,1.2518
hernquist3d,4096,0.05,orig,2000,20,0.20093,0.34448,0.50806,0.01440,0.08130,0.23169,525.1308,0.0511,0.7208,0.1309,0.4910,3.1340,1.2518
hernquist3d,4096,0.05,orig,2000,50,0.20093,0.34448,0.50806,0.00781,0.04858,0.19385,461.6801,0.0944,0.6943,0.1309,0.4910,3.1340,1.2518
hernquist3d,4096,0.05,orig,2000,100,0.20093,0.34448,0.50806,0.01318,0.04907,0.15454,299.0909,0.1824,0.6633,0.1309,0.4910,3.1340,1.2518
hernquist3d,4096,0.05,orig,2000,300,0.20093,0.34448,0.50806,0.01123,0.05640,0.16821,273.3393,0.4193,0.6364,0.1309,0.4910,3.1340,1.2518
hernquist3d,4096,0.05,orig,2000,600,0.20093,0.34448,0.50806,0.01294,0.05835,0.16724,292.8794,0.5439,0.6323,0.1309,0.4910,3.1340,1.2518
hernquist3d,4096,0.05,full,2000,0,0.32251,0.46680,0.62646,0.03125,0.09692,0.24438,527.7465,0.6452,0.9566,0.0954,0.3611,2.2909,0.9156
hernquist3d,4096,0.05,full,2000,5,0.32251,0.46680,0.62646,0.03247,0.10010,0.24097,534.7079,0.6343,0.9512,0.0954,0.3611,2.2909,0.9156
hernquist3d,4096,0.05,full,2000,10,0.32251,0.46680,0.62646,0.03516,0.10571,0.24121,538.8332,0.6255,0.9466,0.0954,0.3611,2.2909,0.9156
hernquist3d,4096,0.05,full,2000,20,0.32251,0.46680,0.62646,0.03247,0.10376,0.24536,529.0377,0.5994,0.9296,0.0954,0.3611,2.2909,0.9156
hernquist3d,4096,0.05,full,2000,50,0.32251,0.46680,0.62646,0.01758,0.07373,0.23169,501.7555,0.5708,0.8797,0.0954,0.3611,2.2909,0.9156
hernquist3d,4096,0.05,full,2000,100,0.32251,0.46680,0.62646,0.01904,0.07349,0.17114,335.4438,0.5853,0.8176,0.0954,0.3611,2.2909,0.9156
hernquist3d,4096,0.05,full,2000,300,0.32251,0.46680,0.62646,0.01636,0.07031,0.17383,316.1739,0.6507,0.7217,0.0954,0.3611,2.2909,0.9156
hernquist3d,4096,0.05,full,2000,600,0.32251,0.46680,0.62646,0.01099,0.06421,0.17285,364.1501,0.6948,0.6955,0.0954,0.3611,2.2909,0.9156
hernquist3d,4096,0.05,inner-med,2000,0,0.26416,0.38745,0.52393,0.03125,0.09692,0.24438,527.7465,0.2914,0.8045,0.0954,0.4910,3.1341,1.2400
hernquist3d,4096,0.05,inner-med,2000,5,0.26416,0.38745,0.52393,0.03247,0.10010,0.24121,529.8349,0.2698,0.7977,0.0954,0.4910,3.1341,1.2400
hernquist3d,4096,0.05,inner-med,2000,10,0.26416,0.38745,0.52393,0.03516,0.10596,0.24072,520.3722,0.2537,0.7917,0.0954,0.4910,3.1341,1.2400
hernquist3d,4096,0.05,inner-med,2000,20,0.26416,0.38745,0.52393,0.03247,0.10303,0.23730,504.5097,0.2038,0.7692,0.0954,0.4910,3.1341,1.2400
hernquist3d,4096,0.05,inner-med,2000,50,0.26416,0.38745,0.52393,0.01367,0.06030,0.20337,445.9822,0.1965,0.7210,0.0954,0.4910,3.1341,1.2400
