arm,quantity,t0,t5,t10,t50,t100,t300,t600
rad,beta,0.6521,0.6279,0.5935,0.4733,0.3959,0.2312,0.1478
rad,Lspec,-0.3443,-0.3440,-0.3435,-0.3400,-0.3380,-0.3369,-0.3360
rad,M05,0.0000,0.0044,0.0105,0.0076,0.0067,0.0042,0.0034
rad,M10,0.0000,0.0032,0.0119,0.0241,0.0217,0.0170,0.0162
rad,M20,0.0000,0.0007,0.0024,0.0365,0.0240,0.0229,0.0275
rad,C8,0.0000,0.0726,0.2418,4.7063,2.5226,1.5794,2.3209
rad,sigr,0.2395,0.2306,0.2194,0.1796,0.1502,0.0893,0.0616
vt,beta,0.7271,0.6935,0.6464,0.4830,0.4035,0.2370,0.1505
vt,Lspec,-0.3439,-0.3439,-0.3436,-0.3411,-0.3395,-0.3393,-0.3387
vt,M05,0.0000,0.0055,0.0111,0.0053,0.0064,0.0040,0.0028
vt,M10,0.0000,0.0037,0.0158,0.0214,0.0209,0.0162,0.0143
vt,M20,0.0000,0.0013,0.0029,0.0433,0.0206,0.0236,0.0264
vt,C8,0.0000,0.1052,0.3286,5.8940,2.3231,1.9248,3.3216
vt,sigr,0.2850,0.2695,0.2501,0.1876,0.1552,0.0911,0.0627
