N,arm,quantity,t0,t5,t10,t20,t50,t100,t300,t600
512,rad,beta,0.6482,0.6311,0.6000,0.5445,0.4541,0.3898,0.2198,0.1367
512,rad,Lspec,-0.3400,-0.3395,-0.3387,-0.3369,-0.3330,-0.3301,-0.3281,-0.3267
512,rad,M05,0.0000,0.0029,0.0066,0.0123,0.0066,0.0047,0.0021,0.0020
512,rad,M10,0.0000,0.0027,0.0128,0.0299,0.0260,0.0196,0.0130,0.0089
512,rad,M20,0.0000,0.0001,0.0029,0.0125,0.0434,0.0262,0.0280,0.0293
512,rad,C8,0.0000,0.0397,0.1168,0.4903,1.2853,0.6328,0.3246,0.5450
512,rad,sigr,0.2377,0.2305,0.2190,0.2005,0.1707,0.1457,0.0846,0.0565
512,tan,beta,-1.9559,-1.7475,-1.4652,-1.1015,-0.7478,-0.5573,-0.2183,-0.1070
512,tan,Lspec,0.2172,0.2171,0.2169,0.2161,0.2144,0.2128,0.2133,0.2141
512,tan,M05,0.0000,-0.0017,-0.0039,-0.0053,-0.0029,-0.0019,-0.0019,-0.0007
512,tan,M10,0.0000,-0.0025,-0.0088,-0.0182,-0.0155,-0.0108,-0.0082,-0.0057
512,tan,M20,0.0000,-0.0011,-0.0021,-0.0109,-0.0315,-0.0283,-0.0269,-0.0267
512,tan,C8,0.0000,0.0334,0.0030,0.0089,-0.4305,-0.4113,-0.2351,-0.6382
512,tan,sigr,-0.2481,-0.2338,-0.2126,-0.1801,-0.1426,-0.1189,-0.0625,-0.0386
1024,rad,beta,0.6521,0.6279,0.5935,0.5397,0.4733,0.3959,0.2312,0.1478
1024,rad,Lspec,-0.3443,-0.3440,-0.3435,-0.3424,-0.3400,-0.3380,-0.3369,-0.3360
1024,rad,M05,0.0000,0.0044,0.0105,0.0156,0.0076,0.0067,0.0042,0.0034
1024,rad,M10,0.0000,0.0032,0.0119,0.0298,0.0241,0.0217,0.0170,0.0162
1024,rad,M20,0.0000,0.0007,0.0024,0.0106,0.0365,0.0240,0.0229,0.0275
1024,rad,C8,0.0000,0.0726,0.2418,1.2970,4.7063,2.5226,1.5794,2.3209
1024,rad,sigr,0.2395,0.2306,0.2194,0.2039,0.1796,0.1502,0.0893,0.0616
1024,tan,beta,-1.9749,-1.6948,-1.3969,-1.0729,-0.7665,-0.5587,-0.2153,-0.1142
1024,tan,Lspec,0.2125,0.2124,0.2122,0.2118,0.2107,0.2095,0.2097,0.2100
1024,tan,M05,0.0000,-0.0032,-0.0066,-0.0066,-0.0026,-0.0029,-0.0017,-0.0014
1024,tan,M10,0.0000,-0.0018,-0.0093,-0.0208,-0.0157,-0.0156,-0.0091,-0.0084
1024,tan,M20,0.0000,0.0001,-0.0011,-0.0090,-0.0275,-0.0243,-0.0191,-0.0236
1024,tan,C8,0.0000,0.0135,-0.0622,-0.0775,-2.2760,-1.8962,-0.8931,-1.1617
1024,tan,sigr,-0.2498,-0.2313,-0.2090,-0.1807,-0.1454,-0.1195,-0.0605,-0.0382
2048,rad,beta,0.6406,0.6119,0.5761,0.5345,0.4812,0.4046,0.2333,0.1481
2048,rad,Lspec,-0.3366,-0.3364,-0.3362,-0.3356,-0.3343,-0.3332,-0.3318,-0.3301
2048,rad,M05,0.0000,0.0052,0.0129,0.0169,0.0087,0.0083,0.0052,0.0025
2048,rad,M10,0.0000,0.0019,0.0106,0.0271,0.0214,0.0256,0.0168,0.0139
2048,rad,M20,0.0000,0.0003,0.0016,0.0108,0.0333,0.0234,0.0188,0.0207
2048,rad,C8,0.0000,0.3634,1.0773,3.9161,16.8668,8.9782,5.9670,8.5433
2048,rad,sigr,0.2378,0.2277,0.2174,0.2058,0.1849,0.1548,0.0919,0.0626
2048,tan,beta,-1.9534,-1.6363,-1.3529,-1.0647,-0.7899,-0.5724,-0.2240,-0.1249
2048,tan,Lspec,0.2113,0.2113,0.2112,0.2110,0.2104,0.2097,0.2098,0.2098
2048,tan,M05,0.0000,-0.0036,-0.0080,-0.0082,-0.0027,-0.0046,-0.0020,-0.0015
2048,tan,M10,0.0000,-0.0013,-0.0078,-0.0199,-0.0145,-0.0189,-0.0103,-0.0087
2048,tan,M20,0.0000,-0.0002,-0.0004,-0.0073,-0.0258,-0.0223,-0.0159,-0.0189
2048,tan,C8,0.0000,-0.0018,-0.1512,-1.4426,-9.4353,-6.7233,-3.9179,-3.8835
2048,tan,sigr,-0.2509,-0.2297,-0.2088,-0.1824,-0.1492,-0.1218,-0.0633,-0.0424
