arm,quantity,t0,t5,t10,t20,t50,t100,t300,t600
rad,beta,0.6521,0.6279,0.5935,0.5397,0.4733,0.3959,0.2312,0.1478
rad,Lspec,-0.3443,-0.3440,-0.3435,-0.3424,-0.3400,-0.3380,-0.3369,-0.3360
rad,M05,0.0000,0.0044,0.0105,0.0156,0.0076,0.0067,0.0042,0.0034
rad,M10,0.0000,0.0032,0.0119,0.0298,0.0241,0.0217,0.0170,0.0162
rad,M20,0.0000,0.0007,0.0024,0.0106,0.0365,0.0240,0.0229,0.0275
rad,C8,0.0000,0.0726,0.2418,1.2970,4.7063,2.5226,1.5794,2.3209
rad,sigr,0.2395,0.2306,0.2194,0.2039,0.1796,0.1502,0.0893,0.0616
outer,beta,0.2217,0.2197,0.2173,0.2156,0.2288,0.2323,0.1776,0.1099
outer,Lspec,-0.3519,-0.3520,-0.3520,-0.3520,-0.3520,-0.3520,-0.3521,-0.3525
outer,M05,0.0000,-0.0000,-0.0000,-0.0002,0.0003,0.0001,0.0003,0.0003
outer,M10,0.0000,0.0001,-0.0003,0.0002,-0.0003,0.0003,0.0015,0.0025
outer,M20,0.0000,0.0003,0.0003,0.0002,0.0003,-0.0011,0.0010,0.0050
outer,C8,0.0000,-0.0089,-0.0394,-0.0483,-0.0366,-0.1139,0.0435,0.0833
outer,sigr,0.0605,0.0605,0.0605,0.0608,0.0644,0.0684,0.0673,0.0500
