arm,quantity,t0,t5,t10,t20,t40,t80,t160,t320,t600,t1000
rad,beta,0.6521,0.6279,0.5935,0.5397,0.4881,0.4263,0.3289,0.2221,0.1478,0.1012
rad,Lspec,-0.3443,-0.3440,-0.3435,-0.3424,-0.3407,-0.3385,-0.3375,-0.3368,-0.3360,-0.3362
rad,M05,0.0000,0.0044,0.0105,0.0156,0.0093,0.0076,0.0049,0.0043,0.0034,0.0016
rad,M10,0.0000,0.0032,0.0119,0.0298,0.0303,0.0214,0.0157,0.0176,0.0162,0.0106
rad,M20,0.0000,0.0007,0.0024,0.0106,0.0354,0.0237,0.0279,0.0223,0.0275,0.0342
rad,C8,0.0000,0.0726,0.2418,1.2970,4.0212,3.8049,2.3531,1.3667,2.3209,2.6225
rad,sigr,0.2395,0.2306,0.2194,0.2039,0.1860,0.1613,0.1237,0.0859,0.0616,0.0448
rad,S,-0.1085,-0.0988,-0.0815,-0.0518,-0.0327,-0.0081,0.0166,0.0149,0.0285,0.0505
tan,beta,-1.9749,-1.6948,-1.3969,-1.0729,-0.8262,-0.6400,-0.3779,-0.2063,-0.1142,-0.0641
tan,Lspec,0.2125,0.2124,0.2122,0.2118,0.2110,0.2099,0.2092,0.2097,0.2100,0.2093
tan,M05,0.0000,-0.0032,-0.0066,-0.0066,-0.0037,-0.0031,-0.0019,-0.0019,-0.0014,-0.0012
tan,M10,0.0000,-0.0018,-0.0093,-0.0208,-0.0184,-0.0126,-0.0126,-0.0089,-0.0084,-0.0048
tan,M20,0.0000,0.0001,-0.0011,-0.0090,-0.0262,-0.0237,-0.0284,-0.0196,-0.0236,-0.0193
tan,C8,0.0000,0.0135,-0.0622,-0.0775,-1.5468,-2.2800,-1.6208,-1.3186,-1.1617,-2.1957
tan,sigr,-0.2498,-0.2313,-0.2090,-0.1807,-0.1531,-0.1296,-0.0906,-0.0590,-0.0382,-0.0263
tan,S,-0.1889,-0.1627,-0.1443,-0.1267,-0.1022,-0.0862,-0.0928,-0.0757,-0.0747,-0.0798
lmatch,beta,0.0704,0.1270,0.1945,0.2790,0.3425,0.2910,0.2413,0.1496,0.0770,0.0438
lmatch,Lspec,-0.2952,-0.2953,-0.2954,-0.2958,-0.2965,-0.2973,-0.2979,-0.2991,-0.3005,-0.3031
lmatch,M05,0.0000,-0.0039,-0.0077,-0.0072,-0.0040,-0.0021,-0.0003,0.0003,0.0009,0.0006
lmatch,M10,0.0000,-0.0021,-0.0111,-0.0242,-0.0205,-0.0088,-0.0035,0.0002,0.0044,0.0059
lmatch,M20,0.0000,0.0001,-0.0012,-0.0109,-0.0281,-0.0099,-0.0057,0.0003,0.0072,0.0154
lmatch,C8,0.0000,0.0336,0.0751,0.3342,0.3555,2.0709,2.0354,-0.3145,-1.0837,-2.0561
lmatch,sigr,0.0176,0.0321,0.0506,0.0767,0.1030,0.1010,0.0944,0.0575,0.0361,0.0208
lmatch,S,-0.2801,-0.2352,-0.2042,-0.1764,-0.1567,-0.1540,-0.0568,0.0020,0.0025,-0.0092
