arm,quantity,t0,t5,t10,t20,t50,t100,t300,t600,t1000
rad,beta,0.6498,0.6189,0.5682,0.4817,0.3814,0.2907,0.1137,0.0937,0.0771
rad,Lspec,-0.1219,-0.1218,-0.1217,-0.1213,-0.1204,-0.1191,-0.1155,-0.1108,-0.1069
rad,M05,0.0000,0.0073,0.0172,0.0247,0.0094,0.0065,0.0044,0.0017,0.0011
rad,M10,0.0000,0.0085,0.0282,0.0556,0.0206,0.0222,0.0182,0.0116,0.0058
rad,M20,0.0000,0.0020,0.0080,0.0368,0.0446,0.0413,0.0264,0.0251,0.0197
rad,C8,0.0000,-0.1429,-0.1975,0.8744,7.2855,0.8181,3.3774,3.4457,4.6764
rad,sigr,0.2991,0.2823,0.2615,0.2339,0.1649,0.1197,0.0642,0.0475,0.0397
rad,S,-0.1081,-0.0872,-0.0450,0.0119,0.0462,0.0553,0.0811,-0.0065,-0.0098
tan,beta,-1.9659,-1.5537,-1.1266,-0.6910,-0.4193,-0.3133,-0.0858,-0.0781,-0.0681
tan,Lspec,0.0754,0.0754,0.0754,0.0753,0.0750,0.0745,0.0734,0.0724,0.0714
tan,M05,0.0000,-0.0049,-0.0083,-0.0091,-0.0030,-0.0030,-0.0017,-0.0014,-0.0009
tan,M10,0.0000,-0.0059,-0.0212,-0.0349,-0.0157,-0.0179,-0.0091,-0.0066,-0.0047
tan,M20,0.0000,-0.0005,-0.0053,-0.0293,-0.0391,-0.0415,-0.0192,-0.0192,-0.0175
tan,C8,0.0000,0.0161,0.3901,-0.4092,-5.4330,-1.5865,-2.9752,-2.6154,-3.2394
tan,sigr,-0.3122,-0.2750,-0.2296,-0.1722,-0.1148,-0.0903,-0.0439,-0.0356,-0.0322
tan,S,-0.1803,-0.1269,-0.1038,-0.0952,-0.1455,-0.1836,-0.1589,-0.0155,-0.0070
