family,eps,target,label,n,metric,value,ci_lo,ci_hi
hernquist3d,0.02,dS_late,Δentropy(late),500,R2_fine_pos,-0.013657062239848194,,
hernquist3d,0.02,dS_late,Δentropy(late),500,R2_fine_kin,0.07236109112177469,,
hernquist3d,0.02,dS_late,Δentropy(late),500,R2_bulk,0.1467024641825838,,
hernquist3d,0.02,dS_late,Δentropy(late),500,R2_phi_best,-0.012202293211710957,,
hernquist3d,0.02,dS_late,Δentropy(late),500,R2_psi_best,0.12747133435779978,,
hernquist3d,0.02,dS_late,Δentropy(late),500,psi_beyond_bulk,-0.017671781974023526,-0.09936265400655285,0.06165058502601016
hernquist3d,0.02,dS_late,Δentropy(late),500,psi_beyond_phi,0.1265707430246349,0.0016249940279843894,0.2424834493233967
hernquist3d,0.02,dS_late,Δentropy(late),500,psi_beyond_kin,0.08359008558110936,-0.0026235142747752516,0.1699221585564295
hernquist3d,0.02,dS_late,Δentropy(late),500,ell_star_psi,0.3,,
hernquist3d,0.02,dS_early,Δentropy(early),500,R2_fine_pos,0.0004964842514911805,,
hernquist3d,0.02,dS_early,Δentropy(early),500,R2_fine_kin,-0.0044464303756235335,,
hernquist3d,0.02,dS_early,Δentropy(early),500,R2_bulk,0.012553516823464173,,
hernquist3d,0.02,dS_early,Δentropy(early),500,R2_phi_best,0.004378988762843261,,
hernquist3d,0.02,dS_early,Δentropy(early),500,R2_psi_best,-0.12620831060193072,,
hernquist3d,0.02,dS_early,Δentropy(early),500,psi_beyond_bulk,-0.5275398362753839,-1.6981553819205102,0.0505268558014399
hernquist3d,0.02,dS_early,Δentropy(early),500,psi_beyond_phi,-0.08884824988510054,-0.2827988858237764,0.05201457437956209
hernquist3d,0.02,dS_early,Δentropy(early),500,psi_beyond_kin,-0.0330872126207733,-0.16191169403132977,0.062139246104782546
hernquist3d,0.02,dS_early,Δentropy(early),500,ell_star_psi,0.2,,
hernquist3d,0.02,dQ_late,ΔQ(late),500,R2_fine_pos,0.35168419818873575,,
hernquist3d,0.02,dQ_late,ΔQ(late),500,R2_fine_kin,0.21767091116729909,,
hernquist3d,0.02,dQ_late,ΔQ(late),500,R2_bulk,0.9799209224669494,,
hernquist3d,0.02,dQ_late,ΔQ(late),500,R2_phi_best,0.6656851454459991,,
hernquist3d,0.02,dQ_late,ΔQ(late),500,R2_psi_best,0.6365518872108142,,
hernquist3d,0.02,dQ_late,ΔQ(late),500,psi_beyond_bulk,-0.0038921163922078783,-0.008827751592718407,-0.000738014929330644
hernquist3d,0.02,dQ_late,ΔQ(late),500,psi_beyond_phi,0.14743408687468074,0.034546423258451156,0.24749038784800817
hernquist3d,0.02,dQ_late,ΔQ(late),500,psi_beyond_kin,0.3516970502562343,-0.049556641169411254,0.5827603648583737
hernquist3d,0.02,dQ_late,ΔQ(late),500,ell_star_psi,0.3,,
